,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu0050,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Rhinocladiella,s__Rhinocladiella_sp
Otu0027,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,f__Trichomeriaceae_unclassified,f__Trichomeriaceae_unclassified
Otu0058,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu0003,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified
Otu0081,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,o__Lecanorales_unclassified,o__Lecanorales_unclassified,o__Lecanorales_unclassified
Otu0030,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__unclassified_Trichomeriaceae,s__Trichomeriaceae_sp
Otu0176,k__Fungi,p__Ascomycota,c__Lecanoromycetes,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified
Otu0071,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,o__Pleosporales_unclassified,o__Pleosporales_unclassified,o__Pleosporales_unclassified
Otu0002,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu0014,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraconiothyrium,g__Paraconiothyrium_unclassified
Otu0177,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,o__Capnodiales_unclassified,o__Capnodiales_unclassified,o__Capnodiales_unclassified
Otu0204,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,o__Lecanorales_unclassified,o__Lecanorales_unclassified,o__Lecanorales_unclassified
Otu0010,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Dothideaceae,g__Endoconidioma,s__Endoconidioma_populi
Otu0054,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,c__Microbotryomycetes_unclassified,c__Microbotryomycetes_unclassified,c__Microbotryomycetes_unclassified,c__Microbotryomycetes_unclassified
Otu0068,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu0104,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu0078,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,o__Dothideales_unclassified,o__Dothideales_unclassified,o__Dothideales_unclassified
Otu0219,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,f__Myriangiaceae,g__Myriangium,s__Myriangium_citri
Otu0057,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae,g__Aureobasidium,s__Aureobasidium_pullulans
Otu0206,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,o__Pleosporales_unclassified,o__Pleosporales_unclassified,o__Pleosporales_unclassified
Otu0049,k__Fungi,p__Ascomycota,c__Leotiomycetes,c__Leotiomycetes_unclassified,c__Leotiomycetes_unclassified,c__Leotiomycetes_unclassified,c__Leotiomycetes_unclassified
Otu0070,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
Otu0075,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbilia,g__Orbilia_unclassified
